"UCTAt1.2_S4_trimmed53_len_filtered_counts","UCTBt1.2_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2A.t14_S1_trimmed53_len_filtered_counts","U2OS.CAS9TREX2B.t14_S2_trimmed53_len_filtered_counts","u2os_trex2a_t21_S4_trimmed53_len_filtered_counts","u2os_trex2b_t21_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2A.t28_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2B.t28_S6_trimmed53_len_filtered_counts"
1239,1,41,49,268,1149,12,259
8,7,35,15,133,28,25,5
4,1,78,23,1732,319,96,39
591,1369,11,197,190,5106,14,657
1413,1,19,16,34,19,2,4
2544,11,203,103,2521,656,111,12
1,1,4,8,7,1,5,4
122,512,41,30,486,99,22,1
1,2,4,5,19,3,5,3
6,1,13,19,51,18,18,6
1,3,5,5,5,1,3,5
13,768,155,32,898,382,60,25
7,1,13,41,6,113,5,2
118,558,3,29,1,167,3,1
6,6,6,94,3,559,5,154
315,686,41,10,266,1,42,4
1,2,3,33,3,739,8,114
1254,831,68,72,1120,221,92,31
70,8,14,46,9,637,6,7
51,6,7,47,74,212,8,5
1075,424,14,6,362,3,25,7
148,290,320,31,6071,35,544,12
1,714,2,3,25,1,3,3
5,152,7,52,2,253,6,5
3,1,28,43,310,68,10,2
119,1,3,2,1,1,2,1
19,1022,38,90,439,742,8,15
4,4,58,10,348,14,8,2
23,100,1,3,108,3,6,1
404,373,40,37,520,167,9,18
4,2,177,20,3749,71,273,5
3,1,163,137,635,2229,10,296
1561,233,32,48,1154,440,74,8
169,910,5,91,2,101,14,6
2,245,16,29,146,101,6,5
89,1166,59,13,115,6,8,2
735,1,31,100,308,853,44,52
1,1458,80,7,444,95,24,1
251,1,54,4,739,2,41,3
155,50,3,20,165,30,6,2
2,1,59,24,68,4,14,2
68,341,53,71,49,238,23,7
2,985,2,9,5,48,3,5
975,194,68,45,769,208,12,3
413,199,7,3,335,112,7,6
8,544,117,100,1489,1030,32,5
2,1108,27,17,1008,1,12,7
2,553,48,119,283,537,20,13
1155,338,155,42,670,140,34,4
551,564,14,26,278,43,12,38
1,1,2,7,4,20,6,1
229,688,66,69,1059,543,13,73
