construct_id	Hela_Trex2_CV4_d14_2_S4_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d3_1_S1_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d28_2_S6_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d14_1_S3_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d3_2_S2_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d28_1_S5_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ADA_chr20_43257696	2205	303	130	316	513	73
ABL1_chr9_133589790__ADA_chr20_43257769	486	550	52	500	437	458
ABL1_chr9_133589790__ALK_chr2_29541172	234	419	0	629	217	900
ABL1_chr9_133589790__ALK_chr2_30143522	1100	483	650	197	110	501
ABL1_chr9_133589790__ARID1A_chr1_27056288	1284	585	1249	374	206	437
ABL1_chr9_133589790__ARID2_chr12_46205318	1164	371	1133	1401	1278	1366
ABL1_chr9_133589790__ARID2_chr12_46254608	101	451	51	171	66	229
ABL1_chr9_133589790__ATM_chr11_108098350	1263	746	507	262	854	110
ABL1_chr9_133589790__ATM_chr11_108098390	801	241	1181	201	186	1
ABL1_chr9_133589790__BCL2_chr18_60795945	55	135	0	183	560	98
ABL1_chr9_133589790__BCL2_chr18_60985877	195	401	245	215	280	98
ABL1_chr9_133589790__BRAF_chr7_140534469	345	262	204	259	771	21
ABL1_chr9_133589790__BRCA1_chr17_41256141	398	536	848	342	1113	230
ABL1_chr9_133589790__BRCA1_chr17_41267735	105	111	0	19	42	0
ABL1_chr9_133589790__BRCA2_chr13_32912006	47	610	1	220	547	44
ABL1_chr9_133589790__BRD4_chr19_15376361	249	120	103	64	221	40
ABL1_chr9_133589790__BTK_chrX_100626613	357	263	28	64	806	5
ABL1_chr9_133589790__BTK_chrX_100645534	918	990	894	732	1419	933
ABL1_chr9_133589790__CASP8_chr2_202123033	428	1721	379	427	973	870
ABL1_chr9_133589790__CASP8_chr2_202131404	648	564	1047	195	386	84
ABL1_chr9_133589790__CASP8_chr2_202134297	126	413	254	574	492	375
ABL1_chr9_133589790__CDH1_chr16_68772250	157	242	19	210	296	307
ABL1_chr9_133589790__CDK4_chr12_58143253	266	522	164	319	340	148
ABL1_chr9_133589790__CDK4_chr12_58145497	587	235	421	168	565	43
