construct_id	UPt28_S3_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ADA_chr20_43257696	61
ABL1_chr9_133589790__ADA_chr20_43257769	3977
ABL1_chr9_133589790__ALK_chr2_29541172	239
ABL1_chr9_133589790__ALK_chr2_30143522	59
ABL1_chr9_133589790__ARID1A_chr1_27056288	203
ABL1_chr9_133589790__ARID2_chr12_46205318	151
ABL1_chr9_133589790__ARID2_chr12_46254608	176
ABL1_chr9_133589790__ATM_chr11_108098350	342
ABL1_chr9_133589790__ATM_chr11_108098390	228
ABL1_chr9_133589790__BCL2_chr18_60795945	70
ABL1_chr9_133589790__BCL2_chr18_60985877	44
ABL1_chr9_133589790__BRAF_chr7_140534469	318
ABL1_chr9_133589790__BRCA1_chr17_41256141	782
ABL1_chr9_133589790__BRCA1_chr17_41267735	359
ABL1_chr9_133589790__BRCA2_chr13_32912006	490
ABL1_chr9_133589790__BRD4_chr19_15376361	304
ABL1_chr9_133589790__BTK_chrX_100626613	27
ABL1_chr9_133589790__BTK_chrX_100645534	255
ABL1_chr9_133589790__CASP8_chr2_202123033	405
ABL1_chr9_133589790__CASP8_chr2_202131404	748
ABL1_chr9_133589790__CASP8_chr2_202134297	267
ABL1_chr9_133589790__CDH1_chr16_68772250	121
ABL1_chr9_133589790__CDK4_chr12_58143253	86
ABL1_chr9_133589790__CDK4_chr12_58145497	72
ABL1_chr9_133589790__CDK6_chr7_92252365	239
ABL1_chr9_133589790__CDK9_chr9_130548998	7
ABL1_chr9_133589790__CDK9_chr9_130550235	1786
ABL1_chr9_133589790__CDKN1B_chr12_12870931	57
ABL1_chr9_133589790__CDKN2A_chr9_21968726	249
ABL1_chr9_133589790__CHEK1_chr11_125496644	328
ABL1_chr9_133589790__CHEK1_chr11_125499147	37
ABL1_chr9_133589790__CHEK2_chr22_29090029	472
ABL1_chr9_133589790__CHEK2_chr22_29130694	142
ABL1_chr9_133589790__EGFR_chr7_55209986	524
ABL1_chr9_133589790__EGFR_chr7_55209992	100
ABL1_chr9_133589790__ERBB2_chr17_37855800	148
ABL1_chr9_133589790__ERBB2_chr17_37868292	223
ABL1_chr9_133589790__FGFR2_chr10_123298118	135
ABL1_chr9_133589790__FGFR3_chr4_1795655	38
ABL1_chr9_133589790__FLT3_chr13_28636131	99
ABL1_chr9_133589790__FLT3_chr13_28636172	109
ABL1_chr9_133589790__FLT3_chr13_28674643	842
ABL1_chr9_133589790__FNTA_chr8_42911471	189
ABL1_chr9_133589790__GATA3_chr10_8097722	66
ABL1_chr9_133589790__GATA3_chr10_8097790	198
ABL1_chr9_133589790__HDAC2_chr6_114266539	308
ABL1_chr9_133589790__HDAC6_chrX_48661089	2931
ABL1_chr9_133589790__HDAC6_chrX_48661385	224
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	117
ABL1_chr9_133589790__IGF1R_chr15_99434664	295
ABL1_chr9_133589790__KDM5C_chrX_53241021	34
ABL1_chr9_133589790__KDM5C_chrX_53254068	1465
ABL1_chr9_133589790__KDM6A_chrX_44820615	193
ABL1_chr9_133589790__KDM6A_chrX_44820616	53
ABL1_chr9_133589790__KIT_chr4_55524164	139
ABL1_chr9_133589790__KMT2D_chr12_49448161	215
ABL1_chr9_133589790__KMT2D_chr12_49448168	354
ABL1_chr9_133589790__KMT2D_chr12_49448468	444
