construct_id	ln229cas9At28_S2_trimmed53_len_filtered_counts	ln229parentt28_S1_trimmed53_len_filtered_counts	ln229cas9trex2Bt28_S5_trimmed53_len_filtered_counts	Undetermined_S0_trimmed53_len_filtered_counts	ln229cas9trex2At28_S4_trimmed53_len_filtered_counts	ln229cas9Bt28_S3_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ADA_chr20_43257696	493	310	76	44	586	49
ABL1_chr9_133589790__ADA_chr20_43257769	305	342	81	43	869	359
ABL1_chr9_133589790__ALK_chr2_29541172	836	157	574	55	522	326
ABL1_chr9_133589790__ALK_chr2_30143522	440	466	1314	57	9	59
ABL1_chr9_133589790__ARID1A_chr1_27056288	354	362	648	97	2078	531
ABL1_chr9_133589790__ARID2_chr12_46205318	3051	656	1609	146	893	582
ABL1_chr9_133589790__ARID2_chr12_46254608	374	342	923	45	35	386
ABL1_chr9_133589790__ATM_chr11_108098350	268	233	216	39	1	713
ABL1_chr9_133589790__ATM_chr11_108098390	941	112	35	23	5	22
ABL1_chr9_133589790__BCL2_chr18_60795945	245	153	34	31	519	307
ABL1_chr9_133589790__BCL2_chr18_60985877	1485	123	1192	61	71	195
ABL1_chr9_133589790__BRAF_chr7_140534469	301	377	512	65	710	647
ABL1_chr9_133589790__BRCA1_chr17_41256141	319	229	14	23	145	92
ABL1_chr9_133589790__BRCA1_chr17_41267735	19	150	283	22	402	16
ABL1_chr9_133589790__BRCA2_chr13_32912006	297	735	14	61	443	901
ABL1_chr9_133589790__BRD4_chr19_15376361	747	563	724	53	14	19
ABL1_chr9_133589790__BTK_chrX_100626613	40	149	8	8	0	9
ABL1_chr9_133589790__BTK_chrX_100645534	632	399	1984	168	3096	1084
ABL1_chr9_133589790__CASP8_chr2_202123033	2344	407	167	77	452	755
ABL1_chr9_133589790__CASP8_chr2_202131404	784	147	301	39	539	287
ABL1_chr9_133589790__CASP8_chr2_202134297	625	296	846	69	412	1019
ABL1_chr9_133589790__CDH1_chr16_68772250	187	388	187	28	13	331
