construct_id	Hela_KRAB_CRV4_d14_2_S4_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d21_2_S6_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d21_1_S5_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d28_1_S7_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d3_1_S1_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d28_2_S8_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d3_2_S2_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d14_1_S3_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ADA_chr20_43257696	1557	2022	1689	1211	473	1837	1990	646
ABL1_chr9_133589790__ADA_chr20_43257769	1137	1580	930	426	271	742	722	548
ABL1_chr9_133589790__ALK_chr2_29541172	1202	1645	1275	1471	1577	1250	1249	748
ABL1_chr9_133589790__ALK_chr2_30143522	816	514	1902	1330	711	291	949	804
ABL1_chr9_133589790__ATM_chr11_108098350	1773	1262	1535	1457	1716	916	1766	893
ABL1_chr9_133589790__ATM_chr11_108098390	1851	1936	1928	1621	822	1468	1873	963
ABL1_chr9_133589790__BCL2_chr18_60795945	880	674	667	1047	210	443	525	514
ABL1_chr9_133589790__BCL2_chr18_60985877	660	492	377	364	232	220	138	274
ABL1_chr9_133589790__BRAF_chr7_140534469	462	1530	399	588	157	599	1085	377
ABL1_chr9_133589790__BRD4_chr19_15376361	583	564	1979	1971	380	325	2138	665
ABL1_chr9_133589790__BTK_chrX_100626613	2097	2419	739	745	714	2164	2040	794
ABL1_chr9_133589790__BTK_chrX_100645534	1340	1156	943	1526	447	1063	591	800
ABL1_chr9_133589790__CDK4_chr12_58143253	855	454	942	817	877	165	678	746
ABL1_chr9_133589790__CDK4_chr12_58145497	681	945	1267	793	421	472	1521	850
ABL1_chr9_133589790__CDK6_chr7_92252365	987	1500	628	999	541	1639	411	343
ABL1_chr9_133589790__CDK9_chr9_130548998	870	1074	1414	785	916	876	1468	717
ABL1_chr9_133589790__CDK9_chr9_130550235	1359	2406	248	328	521	3891	921	646
ABL1_chr9_133589790__CHEK1_chr11_125496644	687	861	621	437	368	703	258	415
ABL1_chr9_133589790__CHEK1_chr11_125499147	2119	1843	1130	974	1139	1051	1458	1255
ABL1_chr9_133589790__CHEK2_chr22_29090029	1015	2010	782	717	486	1604	1132	561
ABL1_chr9_133589790__CHEK2_chr22_29130694	1263	1283	92	192	278	2098	637	263
ABL1_chr9_133589790__EGFR_chr7_55209986	1442	2312	1065	624	1590	2085	1834	634
ABL1_chr9_133589790__EGFR_chr7_55209992	476	42	342	614	362	202	302	287
ABL1_chr9_133589790__ERBB2_chr17_37855800	95	343	942	1048	338	676	430	636
ABL1_chr9_133589790__ERBB2_chr17_37868292	279	406	583	422	387	311	771	330
ABL1_chr9_133589790__FGFR2_chr10_123298118	876	810	330	251	754	1107	601	283
ABL1_chr9_133589790__FGFR3_chr4_1795655	100	77	148	136	473	52	160	131
ABL1_chr9_133589790__FLT3_chr13_28636131	978	511	639	513	447	452	1445	624
ABL1_chr9_133589790__FLT3_chr13_28636172	1082	639	1473	1121	535	852	869	800
ABL1_chr9_133589790__FLT3_chr13_28674643	1044	834	347	446	652	499	1097	597
ABL1_chr9_133589790__FNTA_chr8_42911471	936	940	720	1032	867	215	1258	1018
ABL1_chr9_133589790__HDAC2_chr6_114266539	286	410	566	421	551	354	711	591
ABL1_chr9_133589790__HDAC6_chrX_48661089	260	176	92	54	462	100	277	331
ABL1_chr9_133589790__HDAC6_chrX_48661385	1623	1816	1418	1805	1220	2511	392	1262
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	380	821	923	1826	238	990	708	529
ABL1_chr9_133589790__IGF1R_chr15_99434664	936	1202	884	239	796	1096	1186	422
ABL1_chr9_133589790__KIT_chr4_55524164	469	424	1163	940	516	69	1193	954
ABL1_chr9_133589790__MAP2K1_chr15_66679756	782	985	1702	1509	1712	564	1269	1310
ABL1_chr9_133589790__MET_chr7_116340207	1123	711	1065	999	1149	540	1036	1080
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	2861	2945	2147	2353	1941	2539	2338	1475
ABL1_chr9_133589790__PARP1_chr1_226578249	616	642	547	418	696	249	596	392
ABL1_chr9_133589790__PARP1_chr1_226578301	222	965	511	749	463	862	221	248
ABL1_chr9_133589790__PARP1_chr1_226595581	701	638	599	253	987	407	47	777
ABL1_chr9_133589790__PDGFRA_chr4_55124932	1387	930	658	358	891	1191	1015	454
ABL1_chr9_133589790__PDGFRA_chr4_55124963	688	1814	363	31	590	1634	1537	778
ABL1_chr9_133589790__PIK3CA_chr3_178919070	34	163	221	350	214	2	0	58
ABL1_chr9_133589790__PIK3CA_chr3_178919167	817	732	328	217	1182	1229	689	331
ABL1_chr9_133589790__PRKDC_chr8_48686398	1256	325	1629	845	964	356	1651	1100
ABL1_chr9_133589790__PRKDC_chr8_48686781	739	1108	469	598	282	1274	789	767
ABL1_chr9_133589790__ROR1_chr1_64240072	938	411	699	352	494	836	857	1199
ABL1_chr9_133589790__ROR1_chr1_64240143	1515	906	1101	1517	1771	1231	1261	924
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	329	213	511	425	414	162	235	380
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	710	720	627	294	0	885	112	103
ABL1_chr9_133589790__RRM2_chr2_10262728	626	575	640	1351	339	167	1077	490
ABL1_chr9_133589790__RRM2_chr2_10262940	1709	982	331	505	528	933	1136	617
ABL1_chr9_133589790__SMO_chr7_128845117	648	550	152	103	752	336	689	435
ABL1_chr9_133589790__SRC_chr20_36014563	2244	2357	1738	2925	1670	2256	1105	1291
ABL1_chr9_133589790__SRC_chr20_36022600	1339	2081	350	143	784	1321	673	439
ABL1_chr9_133589790__TOP1_chr20_39657693	476	286	1158	1388	336	809	675	720
ABL1_chr9_133589790__TOP1_chr20_39690109	1329	1781	1948	1259	625	2496	1529	1273
ABL1_chr9_133589790__TYMS_chr18_659665	907	747	1180	937	222	953	796	863
ABL1_chr9_133589790__VEGFA_chr6_43742077	51	62	33	102	86	0	399	187
ABL1_chr9_133589790__WEE1_chr11_9595462	0	0	0	0	0	0	0	0
ABL1_chr9_133738283__AKT1_chr14_105258968	548	468	732	762	581	336	261	898
