construct_id	u2os_cas9b_t21_S3_trimmed53_len_filtered_counts	u2os_trex2b_t21_S5_trimmed53_len_filtered_counts	u2os_trex2a_t21_S4_trimmed53_len_filtered_counts	u2os_parent_t21_S1_trimmed53_len_filtered_counts	u2os_cas9a_t21_S2_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ADA_chr20_43257696	221	1149	268	174	12
ABL1_chr9_133589790__ADA_chr20_43257769	634	28	133	206	2899
ABL1_chr9_133589790__ALK_chr2_29541172	166	319	1732	467	786
ABL1_chr9_133589790__ALK_chr2_30143522	72	5106	190	186	6
ABL1_chr9_133589790__ARID1A_chr1_27056288	704	19	34	457	84
ABL1_chr9_133589790__ARID2_chr12_46205318	1029	656	2521	934	330
ABL1_chr9_133589790__ARID2_chr12_46254608	670	1	7	267	5
ABL1_chr9_133589790__ATM_chr11_108098350	293	99	486	266	435
ABL1_chr9_133589790__ATM_chr11_108098390	100	3	19	311	492
ABL1_chr9_133589790__BCL2_chr18_60795945	324	18	51	162	138
ABL1_chr9_133589790__BCL2_chr18_60985877	35	0	5	258	32
ABL1_chr9_133589790__BRAF_chr7_140534469	921	382	898	430	515
ABL1_chr9_133589790__BRCA1_chr17_41256141	218	113	6	98	565
ABL1_chr9_133589790__BRCA1_chr17_41267735	446	167	0	363	438
ABL1_chr9_133589790__BRCA2_chr13_32912006	417	559	3	684	273
ABL1_chr9_133589790__BRD4_chr19_15376361	1265	1	266	819	119
ABL1_chr9_133589790__BTK_chrX_100626613	49	739	3	76	2
ABL1_chr9_133589790__BTK_chrX_100645534	515	221	1120	887	273
ABL1_chr9_133589790__CASP8_chr2_202123033	908	637	9	563	376
ABL1_chr9_133589790__CASP8_chr2_202131404	9	212	74	526	771
ABL1_chr9_133589790__CASP8_chr2_202134297	317	3	362	718	568
ABL1_chr9_133589790__CDH1_chr16_68772250	531	35	6071	443	29
ABL1_chr9_133589790__CDK4_chr12_58143253	149	1	25	717	283
ABL1_chr9_133589790__CDK4_chr12_58145497	1163	253	2	771	386
ABL1_chr9_133589790__CDK6_chr7_92252365	195	68	310	271	291
ABL1_chr9_133589790__CDK9_chr9_130548998	252	0	1	301	1
ABL1_chr9_133589790__CDK9_chr9_130550235	955	742	439	809	1361
ABL1_chr9_133589790__CDKN1B_chr12_12870931	316	14	348	898	214
ABL1_chr9_133589790__CDKN2A_chr9_21968726	54	3	108	267	103
ABL1_chr9_133589790__CHEK1_chr11_125496644	1199	167	520	584	839
ABL1_chr9_133589790__CHEK1_chr11_125499147	138	71	3749	221	98
ABL1_chr9_133589790__CHEK2_chr22_29090029	233	2229	635	707	668
ABL1_chr9_133589790__CHEK2_chr22_29130694	1161	440	1154	484	268
ABL1_chr9_133589790__EGFR_chr7_55209986	342	101	2	790	400
ABL1_chr9_133589790__EGFR_chr7_55209992	505	101	146	226	16
ABL1_chr9_133589790__ERBB2_chr17_37855800	1682	6	115	231	756
ABL1_chr9_133589790__ERBB2_chr17_37868292	3	853	308	453	259
ABL1_chr9_133589790__FGFR2_chr10_123298118	39	95	444	235	228
ABL1_chr9_133589790__FGFR3_chr4_1795655	267	2	739	15	1
ABL1_chr9_133589790__FLT3_chr13_28636131	114	30	165	461	64
ABL1_chr9_133589790__FLT3_chr13_28636172	30	4	68	147	142
ABL1_chr9_133589790__FLT3_chr13_28674643	935	238	49	1493	622
ABL1_chr9_133589790__FNTA_chr8_42911471	346	48	5	274	170
ABL1_chr9_133589790__GATA3_chr10_8097722	213	208	769	590	259
ABL1_chr9_133589790__GATA3_chr10_8097790	733	112	335	258	267
ABL1_chr9_133589790__HDAC2_chr6_114266539	537	1030	1489	462	432
ABL1_chr9_133589790__HDAC6_chrX_48661089	337	1	1008	271	1296
ABL1_chr9_133589790__HDAC6_chrX_48661385	909	537	283	1148	230
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	651	140	670	486	260
ABL1_chr9_133589790__IGF1R_chr15_99434664	728	43	278	935	476
ABL1_chr9_133589790__KDM5C_chrX_53241021	26	20	4	79	1
ABL1_chr9_133589790__KDM5C_chrX_53254068	943	543	1059	1021	1023
ABL1_chr9_133589790__KDM6A_chrX_44820615	190	140	5	1067	130
ABL1_chr9_133589790__KDM6A_chrX_44820616	359	133	1181	226	80
ABL1_chr9_133589790__KIT_chr4_55524164	3	59	310	85	126
ABL1_chr9_133589790__KMT2D_chr12_49448161	492	16	1482	363	217
ABL1_chr9_133589790__KMT2D_chr12_49448168	1619	88	793	744	197
ABL1_chr9_133589790__KMT2D_chr12_49448468	1355	1266	5283	543	241
ABL1_chr9_133589790__MAP2K1_chr15_66679756	234	508	364	1359	465
ABL1_chr9_133589790__MAP3K1_chr5_56111382	291	2	3	46	0
ABL1_chr9_133589790__MAP3K1_chr5_56152466	3108	95	1030	459	65
ABL1_chr9_133589790__MET_chr7_116340207	169	37	451	29	541
ABL1_chr9_133589790__MLH1_chr3_37045912	619	60	64	200	198
ABL1_chr9_133589790__MSH6_chr2_48018154	778	58	869	113	243
ABL1_chr9_133589790__NF1_chr17_29422308	389	258	180	889	357
ABL1_chr9_133589790__NF1_chr17_29483039	560	37	700	847	206
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	67	1451	602	383	420
ABL1_chr9_133589790__PARP1_chr1_226578249	269	1175	560	567	316
ABL1_chr9_133589790__PARP1_chr1_226578301	411	85	602	185	381
ABL1_chr9_133589790__PARP1_chr1_226595581	13	168	72	776	94
ABL1_chr9_133589790__PBRM1_chr3_52713723	331	6	1118	975	64
ABL1_chr9_133589790__PDGFRA_chr4_55124932	44	533	206	100	527
ABL1_chr9_133589790__PDGFRA_chr4_55124963	306	549	1620	919	465
ABL1_chr9_133589790__PIK3CA_chr3_178919070	43	150	198	308	840
ABL1_chr9_133589790__PIK3CA_chr3_178919167	473	7	197	131	119
ABL1_chr9_133589790__PIK3R1_chr5_67576410	1023	2	17	561	291
ABL1_chr9_133589790__PIK3R1_chr5_67576421	286	818	619	406	41
ABL1_chr9_133589790__PRKDC_chr8_48686398	50	125	484	341	31
ABL1_chr9_133589790__PRKDC_chr8_48686781	572	18	323	796	430
ABL1_chr9_133589790__PTEN_chr10_89653786	61	1061	3	66	472
ABL1_chr9_133589790__RB1_chr13_48878054	703	108	371	207	195
ABL1_chr9_133589790__RB1_chr13_48934148	721	422	3917	573	381
ABL1_chr9_133589790__ROR1_chr1_64240072	1127	233	706	601	536
ABL1_chr9_133589790__ROR1_chr1_64240143	928	45	671	527	40
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	968	2	627	179	32
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	161	0	207	712	193
ABL1_chr9_133589790__RRM2_chr2_10262728	369	2	307	570	145
ABL1_chr9_133589790__RRM2_chr2_10262940	258	1	72	1516	316
ABL1_chr9_133589790__RUNX1_chr21_36252902	177	143	39	69	151
ABL1_chr9_133589790__RUNX1_chr21_36421144	172	7	0	181	103
ABL1_chr9_133589790__SETD2_chr3_47142951	294	2	97	352	619
ABL1_chr9_133589790__SETD2_chr3_47205411	678	416	4	849	356
ABL1_chr9_133589790__SMARCA4_chr19_11094819	454	2	5342	503	154
ABL1_chr9_133589790__SMARCB1_chr22_24129339	129	19	0	108	10
ABL1_chr9_133589790__SMARCB1_chr22_24133949	302	129	2117	502	499
ABL1_chr9_133589790__SMARCB1_chr22_24133993	2	0	135	224	280
ABL1_chr9_133589790__SMO_chr7_128845117	71	390	935	592	105
ABL1_chr9_133589790__SRC_chr20_36014563	989	2256	862	916	943
ABL1_chr9_133589790__SRC_chr20_36022600	67	55	601	294	1
ABL1_chr9_133589790__TOP1_chr20_39657693	436	1	4	630	215
ABL1_chr9_133589790__TOP1_chr20_39690109	87	1	166	185	252
