construct_id	ln229_cas9trex2B_t0_S5_trimmed53_len_filtered_counts	ln229_cas9B_t0_S3_trimmed53_len_filtered_counts	ln229_cas9trex2A_t0_S4_trimmed53_len_filtered_counts	ln229_cas9A_t0_S2_trimmed53_len_filtered_counts	ln229_parent_t0_S1_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ADA_chr20_43257696	159	1720	1	1927	2
ABL1_chr9_133589790__ADA_chr20_43257769	41	6	0	321	1
ABL1_chr9_133589790__ALK_chr2_29541172	447	1	2	3	2
ABL1_chr9_133589790__ALK_chr2_30143522	247	1	0	0	3
ABL1_chr9_133589790__ARID1A_chr1_27056288	1109	1	904	2500	5
ABL1_chr9_133589790__ARID2_chr12_46205318	883	3	1503	1	2
ABL1_chr9_133589790__ARID2_chr12_46254608	170	1	0	223	2
ABL1_chr9_133589790__ATM_chr11_108098350	254	1	1216	1944	396
ABL1_chr9_133589790__ATM_chr11_108098390	3	7	0	2	4
ABL1_chr9_133589790__BCL2_chr18_60795945	759	2053	0	34	0
ABL1_chr9_133589790__BCL2_chr18_60985877	16	3	0	0	0
ABL1_chr9_133589790__BRAF_chr7_140534469	1188	726	179	2	3
ABL1_chr9_133589790__BRCA1_chr17_41256141	0	1645	1055	16	1424
ABL1_chr9_133589790__BRCA1_chr17_41267735	1	2	0	0	1
ABL1_chr9_133589790__BRCA2_chr13_32912006	1014	330	0	550	1
ABL1_chr9_133589790__BRD4_chr19_15376361	1023	1	0	3	0
ABL1_chr9_133589790__BTK_chrX_100626613	60	181	919	2	1
ABL1_chr9_133589790__BTK_chrX_100645534	943	0	171	2053	5
ABL1_chr9_133589790__CASP8_chr2_202123033	525	1	2	353	2
ABL1_chr9_133589790__CASP8_chr2_202131404	39	0	87	915	3
ABL1_chr9_133589790__CASP8_chr2_202134297	684	0	902	275	1
ABL1_chr9_133589790__CDH1_chr16_68772250	301	0	389	0	5
ABL1_chr9_133589790__CDK4_chr12_58143253	316	380	1	292	1469
ABL1_chr9_133589790__CDK4_chr12_58145497	620	3334	427	4	12
ABL1_chr9_133589790__CDK6_chr7_92252365	233	42	596	3	7
ABL1_chr9_133589790__CDK9_chr9_130548998	406	3	1	2	1325
ABL1_chr9_133589790__CDK9_chr9_130550235	340	2	341	1032	2
ABL1_chr9_133589790__CDKN1B_chr12_12870931	179	1	0	692	5
ABL1_chr9_133589790__CDKN2A_chr9_21968726	0	1	0	1227	4
ABL1_chr9_133589790__CHEK1_chr11_125496644	2297	2	1881	895	3
ABL1_chr9_133589790__CHEK1_chr11_125499147	1131	3	226	1	349
ABL1_chr9_133589790__CHEK2_chr22_29090029	629	2478	1	170	355
ABL1_chr9_133589790__CHEK2_chr22_29130694	850	4	1126	1446	3
ABL1_chr9_133589790__EGFR_chr7_55209986	2	1	68	12	1
ABL1_chr9_133589790__EGFR_chr7_55209992	122	2	0	982	1
ABL1_chr9_133589790__ERBB2_chr17_37855800	151	2738	2	1201	6
ABL1_chr9_133589790__ERBB2_chr17_37868292	99	2175	0	0	7
ABL1_chr9_133589790__FGFR2_chr10_123298118	1050	0	102	240	2
ABL1_chr9_133589790__FGFR3_chr4_1795655	637	1	0	0	1
ABL1_chr9_133589790__FLT3_chr13_28636131	907	1	35	0	0
ABL1_chr9_133589790__FLT3_chr13_28636172	36	6	0	2	4
ABL1_chr9_133589790__FLT3_chr13_28674643	494	1495	0	2399	1
ABL1_chr9_133589790__FNTA_chr8_42911471	610	4759	319	791	0
ABL1_chr9_133589790__GATA3_chr10_8097722	609	1472	1	0	22
ABL1_chr9_133589790__GATA3_chr10_8097790	593	611	190	1	5
ABL1_chr9_133589790__HDAC2_chr6_114266539	424	0	1	1143	2
ABL1_chr9_133589790__HDAC6_chrX_48661089	532	2	64	1	0
ABL1_chr9_133589790__HDAC6_chrX_48661385	185	7	1	708	1451
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	638	3	0	2	1673
ABL1_chr9_133589790__IGF1R_chr15_99434664	935	94	0	189	2457
ABL1_chr9_133589790__KDM5C_chrX_53241021	10	0	2	0	0
ABL1_chr9_133589790__KDM5C_chrX_53254068	1529	6	749	670	2
ABL1_chr9_133589790__KDM6A_chrX_44820615	90	2	395	1	2
ABL1_chr9_133589790__KDM6A_chrX_44820616	453	4	416	1	4002
ABL1_chr9_133589790__KIT_chr4_55524164	1	3	131	1	3
ABL1_chr9_133589790__KMT2D_chr12_49448161	1573	4	226	811	1
ABL1_chr9_133589790__KMT2D_chr12_49448168	1513	3089	881	354	8
ABL1_chr9_133589790__KMT2D_chr12_49448468	271	4	473	706	4
ABL1_chr9_133589790__MAP2K1_chr15_66679756	317	4	0	2215	4
ABL1_chr9_133589790__MAP3K1_chr5_56111382	48	0	0	0	1
ABL1_chr9_133589790__MAP3K1_chr5_56152466	1164	1	295	16	0
ABL1_chr9_133589790__MET_chr7_116340207	63	1	0	2	0
ABL1_chr9_133589790__MLH1_chr3_37045912	1	0	1022	0	418
ABL1_chr9_133589790__MSH6_chr2_48018154	11	3	0	1659	232
ABL1_chr9_133589790__NF1_chr17_29422308	789	7	0	0	5
ABL1_chr9_133589790__NF1_chr17_29483039	683	619	1	2	2682
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	417	0	1	916	7
ABL1_chr9_133589790__PARP1_chr1_226578249	1	4	212	1083	6
ABL1_chr9_133589790__PARP1_chr1_226578301	3	1	1	2	2439
ABL1_chr9_133589790__PARP1_chr1_226595581	1	1	60	903	162
ABL1_chr9_133589790__PBRM1_chr3_52713723	1353	738	919	4	3
ABL1_chr9_133589790__PDGFRA_chr4_55124932	698	1	1	4	0
ABL1_chr9_133589790__PDGFRA_chr4_55124963	377	4486	274	2281	5
ABL1_chr9_133589790__PIK3CA_chr3_178919070	498	0	160	2234	2
ABL1_chr9_133589790__PIK3CA_chr3_178919167	505	1	115	2	2
ABL1_chr9_133589790__PIK3R1_chr5_67576410	773	2	398	4	1
ABL1_chr9_133589790__PIK3R1_chr5_67576421	1445	0	54	392	3
ABL1_chr9_133589790__PRKDC_chr8_48686398	754	1	417	3	226
ABL1_chr9_133589790__PRKDC_chr8_48686781	247	5	0	543	4
ABL1_chr9_133589790__PTEN_chr10_89653786	213	0	0	1	2
ABL1_chr9_133589790__RB1_chr13_48878054	38	6	0	983	1
ABL1_chr9_133589790__RB1_chr13_48934148	1422	0	401	2	1
ABL1_chr9_133589790__ROR1_chr1_64240072	1589	429	148	4	1996
ABL1_chr9_133589790__ROR1_chr1_64240143	585	1	211	352	1776
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	273	1	3	1764	5
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	192	1	2	278	5
ABL1_chr9_133589790__RRM2_chr2_10262728	987	2	267	2	1578
ABL1_chr9_133589790__RRM2_chr2_10262940	178	3	0	3	4
ABL1_chr9_133589790__RUNX1_chr21_36252902	138	1	0	140	1
ABL1_chr9_133589790__RUNX1_chr21_36421144	514	2	0	2047	1
ABL1_chr9_133589790__SETD2_chr3_47142951	40	0	537	0	2
