construct_id	Hela_par_CRV4_d21_2_S6_trimmed53_len_filtered_counts	Hela_par_CRV4_d3_1_S1_trimmed53_len_filtered_counts	Hela_par_CRV4_d3_2_S2_trimmed53_len_filtered_counts	Hela_par_CRV4_d21_1_S5_trimmed53_len_filtered_counts	Hela_par_CRV4_d28_2_S8_trimmed53_len_filtered_counts	Hela_par_CRV4_d14_2_S4_trimmed53_len_filtered_counts	Hela_par_CRV4_d14_1_S3_trimmed53_len_filtered_counts	Hela_par_CRV4_d28_1_S7_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ADA_chr20_43257696	1912	1089	1221	1397	2127	2124	1281	1685
ABL1_chr9_133589790__ADA_chr20_43257769	527	1147	1371	604	528	645	454	518
ABL1_chr9_133589790__ALK_chr2_29541172	720	437	445	813	532	845	1099	575
ABL1_chr9_133589790__ALK_chr2_30143522	1508	278	319	1086	1108	723	763	913
ABL1_chr9_133589790__ATM_chr11_108098350	834	854	967	596	475	1002	915	230
ABL1_chr9_133589790__ATM_chr11_108098390	441	922	1175	546	615	1069	938	307
ABL1_chr9_133589790__BCL2_chr18_60795945	552	132	146	619	661	464	385	853
ABL1_chr9_133589790__BCL2_chr18_60985877	358	548	682	578	213	769	622	558
ABL1_chr9_133589790__BRAF_chr7_140534469	408	389	412	690	336	469	591	479
ABL1_chr9_133589790__BRD4_chr19_15376361	1209	754	881	996	823	832	830	752
ABL1_chr9_133589790__BTK_chrX_100626613	2489	1488	1867	1310	3283	1567	1797	1456
ABL1_chr9_133589790__BTK_chrX_100645534	843	177	206	58	514	909	513	19
ABL1_chr9_133589790__CDK4_chr12_58143253	1090	485	623	1604	1625	1492	989	3302
ABL1_chr9_133589790__CDK4_chr12_58145497	179	132	136	252	85	485	524	561
ABL1_chr9_133589790__CDK6_chr7_92252365	943	776	810	639	619	1034	809	188
ABL1_chr9_133589790__CDK9_chr9_130548998	701	1414	1656	421	314	598	625	471
ABL1_chr9_133589790__CDK9_chr9_130550235	498	730	777	580	374	460	474	220
ABL1_chr9_133589790__CHEK1_chr11_125496644	128	76	117	123	95	327	119	1
ABL1_chr9_133589790__CHEK1_chr11_125499147	700	1052	1325	847	588	551	1187	716
ABL1_chr9_133589790__CHEK2_chr22_29090029	423	894	998	253	128	568	352	285
ABL1_chr9_133589790__CHEK2_chr22_29130694	308	480	528	639	129	324	548	917
ABL1_chr9_133589790__EGFR_chr7_55209986	843	1027	1169	375	641	711	819	129
ABL1_chr9_133589790__EGFR_chr7_55209992	133	376	369	556	296	222	687	164
ABL1_chr9_133589790__ERBB2_chr17_37855800	404	1	0	0	292	180	0	0
ABL1_chr9_133589790__ERBB2_chr17_37868292	519	760	884	177	202	521	806	166
ABL1_chr9_133589790__FGFR2_chr10_123298118	599	764	961	593	202	691	711	595
ABL1_chr9_133589790__FGFR3_chr4_1795655	339	117	108	226	43	269	139	59
ABL1_chr9_133589790__FLT3_chr13_28636131	512	481	509	503	562	610	610	246
ABL1_chr9_133589790__FLT3_chr13_28636172	1004	149	155	589	1168	739	772	571
ABL1_chr9_133589790__FLT3_chr13_28674643	167	185	228	480	95	530	457	250
ABL1_chr9_133589790__FNTA_chr8_42911471	698	661	759	593	361	968	718	343
