pA_pB	fc	sdfc
ABL1_chr9_133589790_ADA_chr20_43257696	-0.0728182011641047	0.0781042260272544
ABL1_chr9_133589790_ADA_chr20_43257769	-0.0277525387177553	0.0474092094872392
ABL1_chr9_133589790_ALK_chr2_29541172	-0.0688405104232171	0.0816710860102152
ABL1_chr9_133589790_ALK_chr2_30143522	0.00758902146833805	0.141094114851488
ABL1_chr9_133589790_ARID1A_chr1_27056288	-0.0270517014977227	0.0506135083892442
ABL1_chr9_133589790_ARID2_chr12_46205318	-0.0360835952904524	0.0356071699177008
ABL1_chr9_133589790_ARID2_chr12_46254608	-0.00411405445301594	0.0618189653314419
ABL1_chr9_133589790_ATM_chr11_108098350	-0.038917266881219	0.0802214588138273
ABL1_chr9_133589790_ATM_chr11_108098390	-0.0155983799108088	0.0996512444788988
ABL1_chr9_133589790_BCL2_chr18_60795945	-0.0548915902210914	0.047580219091651
ABL1_chr9_133589790_BCL2_chr18_60985877	-0.094788944954447	0.0447378775685798
ABL1_chr9_133589790_BRAF_chr7_140534469	-0.0529114259319643	0.0517758528670198
ABL1_chr9_133589790_BRCA1_chr17_41256141	-0.0252016915453415	0.0581617015909152
ABL1_chr9_133589790_BRCA1_chr17_41267735	-0.0678825041672838	0.0705651985335797
ABL1_chr9_133589790_BRCA2_chr13_32912006	-0.0951386831073136	0.094331070923012
ABL1_chr9_133589790_BRD4_chr19_15376361	-0.174295976370252	0.106127248438894
ABL1_chr9_133589790_BTK_chrX_100626613	0.0313178537019315	0.108893508581595
ABL1_chr9_133589790_BTK_chrX_100645534	0.0203019770140488	0.0514548435527711
ABL1_chr9_133589790_CASP8_chr2_202123033	-0.0478151467272893	0.104365130956546
ABL1_chr9_133589790_CASP8_chr2_202131404	-0.0317455129604956	0.100627376799799
ABL1_chr9_133589790_CASP8_chr2_202134297	-0.0237871705794461	0.0599651412968634
ABL1_chr9_133589790_CDH1_chr16_68772250	0.0229053765534704	0.0615327493649095
ABL1_chr9_133589790_CDK4_chr12_58143253	-0.0519224164771609	0.0809117795963887
ABL1_chr9_133589790_CDK4_chr12_58145497	0.045911420964675	0.0345949240209634
ABL1_chr9_133589790_CDK6_chr7_92252365	-0.0142852508036862	0.106823587919793
ABL1_chr9_133589790_CDK9_chr9_130548998	-0.10693817152002	0.14271363290763
ABL1_chr9_133589790_CDK9_chr9_130550235	-0.0425449270642634	0.0794654522208705
ABL1_chr9_133589790_CDKN1B_chr12_12870931	-0.0313133940468227	0.05781867352206
ABL1_chr9_133589790_CDKN2A_chr9_21968726	0.0508226350499331	0.0870074705929613
ABL1_chr9_133589790_CHEK1_chr11_125496644	-0.0407934947493515	0.0652789837128831
ABL1_chr9_133589790_CHEK1_chr11_125499147	-0.0250998298864334	0.0515037634939031
ABL1_chr9_133589790_CHEK2_chr22_29090029	0.00736051962977638	0.0387957572797331
ABL1_chr9_133589790_CHEK2_chr22_29130694	0.0255152848921197	0.0236529596969791
ABL1_chr9_133589790_EGFR_chr7_55209986	-0.0248334121571196	0.0314874803206663
ABL1_chr9_133589790_EGFR_chr7_55209992	-0.0568405241375445	0.0431356243521237
ABL1_chr9_133589790_ERBB2_chr17_37855800	-0.0658327473067025	0.0484636950260364
ABL1_chr9_133589790_ERBB2_chr17_37868292	-0.0333296923031863	0.0591441470551455
ABL1_chr9_133589790_FGFR2_chr10_123298118	0.0420418617565085	0.0699594643075046
ABL1_chr9_133589790_FGFR3_chr4_1795655	-0.0832730290736236	0.084883630374888
ABL1_chr9_133589790_FLT3_chr13_28636131	0.0220197554729229	0.0737136989933086
ABL1_chr9_133589790_FLT3_chr13_28636172	-0.142082880640847	0.0335472001638146
ABL1_chr9_133589790_FLT3_chr13_28674643	-0.050335496179494	0.0391856824629226
ABL1_chr9_133589790_FNTA_chr8_42911471	-0.0120751041304335	0.125276656823105
ABL1_chr9_133589790_GATA3_chr10_8097722	0.0197131381608096	0.0414668386474932
ABL1_chr9_133589790_GATA3_chr10_8097790	-0.0367035442588591	0.0643714500247873
ABL1_chr9_133589790_HDAC2_chr6_114266539	0.0274983604138211	0.0515710596700485
ABL1_chr9_133589790_HDAC6_chrX_48661089	-0.0316647729721806	0.0544789996031519
ABL1_chr9_133589790_HDAC6_chrX_48661385	-0.0549469139498873	0.0987675594635657
ABL1_chr9_133589790_HSP90AA1_chr14_102551760	-0.0173079906972949	0.0640863971816463
ABL1_chr9_133589790_IGF1R_chr15_99434664	-0.0521577214247965	0.0844217874638733
ABL1_chr9_133589790_KDM5C_chrX_53241021	0.033006880706922	0.0362061357685998
ABL1_chr9_133589790_KDM5C_chrX_53254068	-0.024517857418598	0.0252196562416563
ABL1_chr9_133589790_KDM6A_chrX_44820615	0.00477154963465616	0.0944968444004109
ABL1_chr9_133589790_KDM6A_chrX_44820616	0.00912890027548253	0.0602668911371714
ABL1_chr9_133589790_KIT_chr4_55524164	0.0123631432504218	0.0250529145257466
ABL1_chr9_133589790_KMT2D_chr12_49448161	0.0378414881170212	0.0692749477643999
ABL1_chr9_133589790_KMT2D_chr12_49448168	0.0296440547001313	0.0755772794340705
ABL1_chr9_133589790_KMT2D_chr12_49448468	-0.0282069954134895	0.0612252032344339
ABL1_chr9_133589790_MAP2K1_chr15_66679756	-0.0279208516096576	0.0409225527924598
ABL1_chr9_133589790_MAP3K1_chr5_56111382	0.0368257040333473	0.0572532566480046
ABL1_chr9_133589790_MAP3K1_chr5_56152466	-0.00759125176938888	0.0412384515659906
ABL1_chr9_133589790_MET_chr7_116340207	-0.00169753424118351	0.0430762545776451
ABL1_chr9_133589790_MLH1_chr3_37045912	-0.0228602167277879	0.0941983810436207
ABL1_chr9_133589790_MSH6_chr2_48018154	-0.00996798991016569	0.041626547191422
ABL1_chr9_133589790_NF1_chr17_29422308	-0.0115332241877844	0.0316137775751388
ABL1_chr9_133589790_NF1_chr17_29483039	-0.0131469835643717	0.0363482231538797
0NonTargetingControlGuideForHuman0352_ABL1_chr9_133589790	-0.0836253842635202	0.0522523402156668
ABL1_chr9_133589790_PARP1_chr1_226578249	0.0133341271908008	0.0223358895342771
ABL1_chr9_133589790_PARP1_chr1_226578301	-0.0511421626427123	0.0721737025893307
ABL1_chr9_133589790_PARP1_chr1_226595581	-0.034890086241723	0.0285139169170918
ABL1_chr9_133589790_PBRM1_chr3_52713723	0.0157179451202647	0.108104443560682
ABL1_chr9_133589790_PDGFRA_chr4_55124932	-0.0391384166840051	0.0780509274457794
ABL1_chr9_133589790_PDGFRA_chr4_55124963	0.00487894586942746	0.0257836739561153
ABL1_chr9_133589790_PIK3CA_chr3_178919070	0.00380920680891112	0.046267553535175
ABL1_chr9_133589790_PIK3CA_chr3_178919167	-0.00830151075668327	0.0587298551979702
ABL1_chr9_133589790_PIK3R1_chr5_67576410	-0.0693256919066338	0.108487095212897
ABL1_chr9_133589790_PIK3R1_chr5_67576421	0.0280866069229076	0.0946723235179377
ABL1_chr9_133589790_PRKDC_chr8_48686398	-0.0996197574260007	0.0633578964305668
ABL1_chr9_133589790_PRKDC_chr8_48686781	-0.0285984936809002	0.0657383716139668
ABL1_chr9_133589790_PTEN_chr10_89653786	0.0174378929663453	0.0467283703236764
ABL1_chr9_133589790_RB1_chr13_48878054	-0.0587729263550215	0.0661946560137421
ABL1_chr9_133589790_RB1_chr13_48934148	0.041099728153934	0.0430902095798764
ABL1_chr9_133589790_ROR1_chr1_64240072	-0.0141576644216479	0.0511722675139579
ABL1_chr9_133589790_ROR1_chr1_64240143	-0.00243867554826715	0.0727888836848081
ABL1_chr9_133589790_RPS6KB1_chr17_57970538	-0.0783227058667985	0.11413826623755
ABL1_chr9_133589790_RPS6KB1_chr17_57987922	-0.0195226544812065	0.0388200874435158
ABL1_chr9_133589790_RRM2_chr2_10262728	-0.0757610521515854	0.0524007586697573
ABL1_chr9_133589790_RRM2_chr2_10262940	-0.0474454449472697	0.0289089878675138
ABL1_chr9_133589790_RUNX1_chr21_36252902	-0.0273985048553893	0.121505359003017
ABL1_chr9_133589790_RUNX1_chr21_36421144	-0.0473639852194515	0.0240221110222786
ABL1_chr9_133589790_SETD2_chr3_47142951	-0.0491382394854432	0.0701527539879239
ABL1_chr9_133589790_SETD2_chr3_47205411	0.0356841533103865	0.11039613020929
ABL1_chr9_133589790_SMARCA4_chr19_11094819	-0.0257443331714097	0.0600515538969814
ABL1_chr9_133589790_SMARCB1_chr22_24129339	-0.0619104738216407	0.05946362316402
ABL1_chr9_133589790_SMARCB1_chr22_24133949	-0.121153909629159	0.128504995860248
ABL1_chr9_133589790_SMARCB1_chr22_24133993	0.0262561855706522	0.0275262845218877
ABL1_chr9_133589790_SMO_chr7_128845117	-0.0594272977317779	0.0829625649460766
ABL1_chr9_133589790_SRC_chr20_36014563	-0.0902800936083813	0.0647265809775784
