construct_id	U2OS-CAS9B-t28_S4_trimmed53_len_filtered_counts	U2OS-CAS9TREX2A-t14_S1_trimmed53_len_filtered_counts	U2OS-CAS9TREX2A-t28_S5_trimmed53_len_filtered_counts	U2OS-CAS9TREX2B-t14_S2_trimmed53_len_filtered_counts	U2OS-CAS9TREX2B-t28_S6_trimmed53_len_filtered_counts	U2OS-Parent-t28_S3_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ADA_chr20_43257696	29	41	12	49	259	23
ABL1_chr9_133589790__ADA_chr20_43257769	97	35	25	15	5	13
ABL1_chr9_133589790__ALK_chr2_29541172	5	78	96	23	39	46
ABL1_chr9_133589790__ALK_chr2_30143522	28	11	14	197	657	17
ABL1_chr9_133589790__ARID1A_chr1_27056288	60	19	2	16	4	30
ABL1_chr9_133589790__ARID2_chr12_46205318	128	203	111	103	12	109
ABL1_chr9_133589790__ARID2_chr12_46254608	78	4	5	8	4	11
ABL1_chr9_133589790__ATM_chr11_108098350	34	41	22	30	0	12
ABL1_chr9_133589790__ATM_chr11_108098390	10	4	5	5	3	5
ABL1_chr9_133589790__BCL2_chr18_60795945	33	13	18	19	6	13
ABL1_chr9_133589790__BCL2_chr18_60985877	29	5	3	5	5	21
ABL1_chr9_133589790__BRAF_chr7_140534469	80	155	60	32	25	54
ABL1_chr9_133589790__BRCA1_chr17_41256141	30	13	5	41	2	2
ABL1_chr9_133589790__BRCA1_chr17_41267735	17	3	3	29	1	39
ABL1_chr9_133589790__BRCA2_chr13_32912006	103	6	5	94	154	36
ABL1_chr9_133589790__BRD4_chr19_15376361	144	41	42	10	4	59
ABL1_chr9_133589790__BTK_chrX_100626613	8	3	8	33	114	14
ABL1_chr9_133589790__BTK_chrX_100645534	53	68	92	72	31	55
ABL1_chr9_133589790__CASP8_chr2_202123033	69	14	6	46	7	70
ABL1_chr9_133589790__CASP8_chr2_202131404	11	7	8	47	5	16
ABL1_chr9_133589790__CASP8_chr2_202134297	72	14	25	6	7	55
ABL1_chr9_133589790__CDH1_chr16_68772250	74	320	544	31	12	40
ABL1_chr9_133589790__CDK4_chr12_58143253	5	2	3	3	3	19
ABL1_chr9_133589790__CDK4_chr12_58145497	155	7	6	52	5	44
ABL1_chr9_133589790__CDK6_chr7_92252365	8	28	10	43	2	10
ABL1_chr9_133589790__CDK9_chr9_130548998	26	3	2	2	0	2
ABL1_chr9_133589790__CDK9_chr9_130550235	130	38	8	90	15	52
ABL1_chr9_133589790__CDKN1B_chr12_12870931	17	58	8	10	2	78
ABL1_chr9_133589790__CDKN2A_chr9_21968726	6	1	6	3	0	27
ABL1_chr9_133589790__CHEK1_chr11_125496644	296	40	9	37	18	54
ABL1_chr9_133589790__CHEK1_chr11_125499147	22	177	273	20	5	17
ABL1_chr9_133589790__CHEK2_chr22_29090029	25	163	10	137	296	24
ABL1_chr9_133589790__CHEK2_chr22_29130694	110	32	74	48	8	27
ABL1_chr9_133589790__EGFR_chr7_55209986	64	5	14	91	6	43
ABL1_chr9_133589790__EGFR_chr7_55209992	67	16	6	29	5	12
ABL1_chr9_133589790__ERBB2_chr17_37855800	228	59	8	13	2	35
ABL1_chr9_133589790__ERBB2_chr17_37868292	7	31	44	100	52	34
ABL1_chr9_133589790__FGFR2_chr10_123298118	20	80	24	7	1	8
ABL1_chr9_133589790__FGFR3_chr4_1795655	76	54	41	4	3	8
ABL1_chr9_133589790__FLT3_chr13_28636131	45	3	6	20	2	44
ABL1_chr9_133589790__FLT3_chr13_28636172	11	59	14	24	2	7
ABL1_chr9_133589790__FLT3_chr13_28674643	99	53	23	71	7	59
ABL1_chr9_133589790__FNTA_chr8_42911471	32	2	3	9	5	9
ABL1_chr9_133589790__GATA3_chr10_8097722	70	68	12	45	3	48
ABL1_chr9_133589790__GATA3_chr10_8097790	19	7	7	3	6	13
ABL1_chr9_133589790__HDAC2_chr6_114266539	73	117	32	100	5	55
ABL1_chr9_133589790__HDAC6_chrX_48661089	118	27	12	17	7	6
ABL1_chr9_133589790__HDAC6_chrX_48661385	188	48	20	119	13	113
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	54	155	34	42	4	31
