construct_id	RuCTAt14_S6_trimmed53_len_filtered_counts	RuCTBt14_S7_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ADA_chr20_43257696	197	287
ABL1_chr9_133589790__ADA_chr20_43257769	45	43
ABL1_chr9_133589790__ALK_chr2_29541172	317	129
ABL1_chr9_133589790__ALK_chr2_30143522	84	1523
ABL1_chr9_133589790__ARID1A_chr1_27056288	79	38
ABL1_chr9_133589790__ARID2_chr12_46205318	1217	381
ABL1_chr9_133589790__ARID2_chr12_46254608	10	20
ABL1_chr9_133589790__ATM_chr11_108098350	342	138
ABL1_chr9_133589790__ATM_chr11_108098390	11	31
ABL1_chr9_133589790__BCL2_chr18_60795945	93	103
ABL1_chr9_133589790__BCL2_chr18_60985877	35	58
ABL1_chr9_133589790__BRAF_chr7_140534469	452	337
ABL1_chr9_133589790__BRCA1_chr17_41256141	21	93
ABL1_chr9_133589790__BRCA1_chr17_41267735	5	149
ABL1_chr9_133589790__BRCA2_chr13_32912006	9	386
ABL1_chr9_133589790__BRD4_chr19_15376361	198	14
ABL1_chr9_133589790__BTK_chrX_100626613	7	304
ABL1_chr9_133589790__BTK_chrX_100645534	458	421
ABL1_chr9_133589790__CASP8_chr2_202123033	65	504
ABL1_chr9_133589790__CASP8_chr2_202131404	20	117
ABL1_chr9_133589790__CASP8_chr2_202134297	139	33
ABL1_chr9_133589790__CDH1_chr16_68772250	1091	133
ABL1_chr9_133589790__CDK4_chr12_58143253	12	19
ABL1_chr9_133589790__CDK4_chr12_58145497	167	326
ABL1_chr9_133589790__CDK6_chr7_92252365	195	150
ABL1_chr9_133589790__CDK9_chr9_130548998	2	2
ABL1_chr9_133589790__CDK9_chr9_130550235	85	383
ABL1_chr9_133589790__CDKN1B_chr12_12870931	130	16
ABL1_chr9_133589790__CDKN2A_chr9_21968726	7	22
ABL1_chr9_133589790__CHEK1_chr11_125496644	307	238
ABL1_chr9_133589790__CHEK1_chr11_125499147	555	104
ABL1_chr9_133589790__CHEK2_chr22_29090029	545	711
ABL1_chr9_133589790__CHEK2_chr22_29130694	474	485
ABL1_chr9_133589790__EGFR_chr7_55209986	39	310
ABL1_chr9_133589790__EGFR_chr7_55209992	37	180
ABL1_chr9_133589790__ERBB2_chr17_37855800	83	29
ABL1_chr9_133589790__ERBB2_chr17_37868292	370	360
ABL1_chr9_133589790__FGFR2_chr10_123298118	384	132
ABL1_chr9_133589790__FGFR3_chr4_1795655	318	22
ABL1_chr9_133589790__FLT3_chr13_28636131	7	72
ABL1_chr9_133589790__FLT3_chr13_28636172	9	120
ABL1_chr9_133589790__FLT3_chr13_28674643	68	493
ABL1_chr9_133589790__FNTA_chr8_42911471	6	44
ABL1_chr9_133589790__GATA3_chr10_8097722	199	203
ABL1_chr9_133589790__GATA3_chr10_8097790	17	128
ABL1_chr9_133589790__HDAC2_chr6_114266539	662	573
ABL1_chr9_133589790__HDAC6_chrX_48661089	396	80
ABL1_chr9_133589790__HDAC6_chrX_48661385	164	605
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	483	257
ABL1_chr9_133589790__IGF1R_chr15_99434664	39	119
ABL1_chr9_133589790__KDM5C_chrX_53241021	2	10
ABL1_chr9_133589790__KDM5C_chrX_53254068	601	466
ABL1_chr9_133589790__KDM6A_chrX_44820615	16	28
ABL1_chr9_133589790__KDM6A_chrX_44820616	105	85
ABL1_chr9_133589790__KIT_chr4_55524164	179	54
ABL1_chr9_133589790__KMT2D_chr12_49448161	285	146
ABL1_chr9_133589790__KMT2D_chr12_49448168	299	154
ABL1_chr9_133589790__KMT2D_chr12_49448468	1567	623
ABL1_chr9_133589790__MAP2K1_chr15_66679756	53	540
ABL1_chr9_133589790__MAP3K1_chr5_56111382	7	7
ABL1_chr9_133589790__MAP3K1_chr5_56152466	377	164
ABL1_chr9_133589790__MET_chr7_116340207	103	26
ABL1_chr9_133589790__MLH1_chr3_37045912	106	87
ABL1_chr9_133589790__MSH6_chr2_48018154	700	34
ABL1_chr9_133589790__NF1_chr17_29422308	340	214
ABL1_chr9_133589790__NF1_chr17_29483039	265	116
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	403	745
ABL1_chr9_133589790__PARP1_chr1_226578249	92	859
ABL1_chr9_133589790__PARP1_chr1_226578301	127	230
ABL1_chr9_133589790__PARP1_chr1_226595581	194	123
ABL1_chr9_133589790__PBRM1_chr3_52713723	397	135
ABL1_chr9_133589790__PDGFRA_chr4_55124932	388	406
ABL1_chr9_133589790__PDGFRA_chr4_55124963	172	419
ABL1_chr9_133589790__PIK3CA_chr3_178919070	13	83
ABL1_chr9_133589790__PIK3CA_chr3_178919167	67	26
ABL1_chr9_133589790__PIK3R1_chr5_67576410	36	73
ABL1_chr9_133589790__PIK3R1_chr5_67576421	26	345
ABL1_chr9_133589790__PRKDC_chr8_48686398	453	315
ABL1_chr9_133589790__PRKDC_chr8_48686781	80	92
ABL1_chr9_133589790__PTEN_chr10_89653786	19	485
ABL1_chr9_133589790__RB1_chr13_48878054	520	122
ABL1_chr9_133589790__RB1_chr13_48934148	1318	181
ABL1_chr9_133589790__ROR1_chr1_64240072	312	212
ABL1_chr9_133589790__ROR1_chr1_64240143	394	286
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	256	67
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	283	15
ABL1_chr9_133589790__RRM2_chr2_10262728	228	107
ABL1_chr9_133589790__RRM2_chr2_10262940	143	44
ABL1_chr9_133589790__RUNX1_chr21_36252902	7	158
ABL1_chr9_133589790__RUNX1_chr21_36421144	7	55
ABL1_chr9_133589790__SETD2_chr3_47142951	162	26
ABL1_chr9_133589790__SETD2_chr3_47205411	100	480
ABL1_chr9_133589790__SMARCA4_chr19_11094819	1097	23
ABL1_chr9_133589790__SMARCB1_chr22_24129339	7	82
ABL1_chr9_133589790__SMARCB1_chr22_24133949	628	300
ABL1_chr9_133589790__SMARCB1_chr22_24133993	5	19
ABL1_chr9_133589790__SMO_chr7_128845117	475	121
ABL1_chr9_133589790__SRC_chr20_36014563	454	579
ABL1_chr9_133589790__SRC_chr20_36022600	409	27
ABL1_chr9_133589790__TOP1_chr20_39657693	168	23
ABL1_chr9_133589790__TOP1_chr20_39690109	10	8
ABL1_chr9_133589790__TP53_chr17_7577537	597	99
ABL1_chr9_133589790__TP53_chr17_7579881	227	205
ABL1_chr9_133589790__TSC1_chr9_135804256	340	449
ABL1_chr9_133589790__TYMS_chr18_659665	162	770
ABL1_chr9_133589790__VEGFA_chr6_43742077	634	1557
ABL1_chr9_133589790__VHL_chr3_10183773	13	125
ABL1_chr9_133589790__WEE1_chr11_9595462	229	39
ABL1_chr9_133738283__AKT1_chr14_105258968	823	536
ABL1_chr9_133738283__ALK_chr2_29541171	4	13
ABL1_chr9_133738283__ALK_chr2_29541172	19	85
ABL1_chr9_133738283__ALK_chr2_30143522	103	104
ABL1_chr9_133738283__APC_chr5_112102933	446	17
ABL1_chr9_133738283__ARID1A_chr1_27022876	30	191
ABL1_chr9_133738283__ARID1A_chr1_27056286	584	32
ABL1_chr9_133738283__ATM_chr11_108098350	25	706
ABL1_chr9_133738283__ATM_chr11_108098390	426	27
ABL1_chr9_133738283__BCL2_chr18_60795945	260	359
ABL1_chr9_133738283__BCL2_chr18_60795960	467	480
ABL1_chr9_133738283__BRAF_chr7_140508787	811	672
ABL1_chr9_133738283__BRAF_chr7_140534469	348	423
ABL1_chr9_133738283__BRCA1_chr17_41256141	420	721
ABL1_chr9_133738283__BRCA1_chr17_41276018	66	10
ABL1_chr9_133738283__BRCA2_chr13_32890586	209	17
ABL1_chr9_133738283__BRCA2_chr13_32914228	187	59
ABL1_chr9_133738283__BRD4_chr19_15383894	136	14
ABL1_chr9_133738283__BTK_chrX_100626613	685	23
