construct_id	LCTBt23_S5_trimmed53_len_filtered_counts	LCTAt23_S4_trimmed53_len_filtered_counts	LPt23_S1_trimmed53_len_filtered_counts	LCAt23_S2_trimmed53_len_filtered_counts	LCBt23_S3_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ADA_chr20_43257696	4	0	493	2164	4
ABL1_chr9_133589790__ADA_chr20_43257769	9	6	486	1	4
ABL1_chr9_133589790__ALK_chr2_29541172	3286	1313	509	8	6
ABL1_chr9_133589790__ALK_chr2_30143522	13	3	1041	3	624
ABL1_chr9_133589790__ARID1A_chr1_27056288	3	3011	785	8	590
ABL1_chr9_133589790__ARID2_chr12_46205318	3633	5	4	874	1000
ABL1_chr9_133589790__ARID2_chr12_46254608	5	9	1	5	285
ABL1_chr9_133589790__ATM_chr11_108098350	6	4	225	1540	953
ABL1_chr9_133589790__ATM_chr11_108098390	4	6	716	2	4
ABL1_chr9_133589790__BCL2_chr18_60795945	3	2939	448	6	5
ABL1_chr9_133589790__BCL2_chr18_60985877	5	1	2	4	0
ABL1_chr9_133589790__BRAF_chr7_140534469	13	3	4	4	367
ABL1_chr9_133589790__BRCA1_chr17_41256141	4	0	190	2	790
ABL1_chr9_133589790__BRCA1_chr17_41267735	3	0	1	2	1
ABL1_chr9_133589790__BRCA2_chr13_32912006	4814	4	8	9	180
ABL1_chr9_133589790__BRD4_chr19_15376361	1047	3	380	2	151
ABL1_chr9_133589790__BTK_chrX_100626613	1	3	4	2	382
ABL1_chr9_133589790__BTK_chrX_100645534	902	11	1027	4013	2521
ABL1_chr9_133589790__CASP8_chr2_202123033	3	690	740	3	4
ABL1_chr9_133589790__CASP8_chr2_202131404	5	127	2	5	0
ABL1_chr9_133589790__CASP8_chr2_202134297	6	658	362	3789	859
ABL1_chr9_133589790__CDH1_chr16_68772250	7	3	1	3	1678
ABL1_chr9_133589790__CDK4_chr12_58143253	5	2849	169	8	511
ABL1_chr9_133589790__CDK4_chr12_58145497	7	1	86	442	7
ABL1_chr9_133589790__CDK6_chr7_92252365	8	6	268	6	1
ABL1_chr9_133589790__CDK9_chr9_130548998	5	1507	8	3	2
ABL1_chr9_133589790__CDK9_chr9_130550235	12	1112	2	2178	237
ABL1_chr9_133589790__CDKN1B_chr12_12870931	5	730	417	2	606
ABL1_chr9_133589790__CDKN2A_chr9_21968726	7	5	2	3	572
ABL1_chr9_133589790__CHEK1_chr11_125496644	2492	2620	875	6	193
ABL1_chr9_133589790__CHEK1_chr11_125499147	8	586	313	5	4
ABL1_chr9_133589790__CHEK2_chr22_29090029	5	2422	0	6	212
ABL1_chr9_133589790__CHEK2_chr22_29130694	10	851	951	5	5
ABL1_chr9_133589790__EGFR_chr7_55209986	10	323	645	9	987
ABL1_chr9_133589790__EGFR_chr7_55209992	1	0	2	220	2
ABL1_chr9_133589790__ERBB2_chr17_37855800	8	2	300	3	202
ABL1_chr9_133589790__ERBB2_chr17_37868292	7	490	286	5	277
ABL1_chr9_133589790__FGFR2_chr10_123298118	930	9	234	8	1289
ABL1_chr9_133589790__FGFR3_chr4_1795655	2	1	8	2	989
ABL1_chr9_133589790__FLT3_chr13_28636131	7	0	1	3	1
ABL1_chr9_133589790__FLT3_chr13_28636172	4	4	322	2	3
ABL1_chr9_133589790__FLT3_chr13_28674643	2404	2	6	8	992
ABL1_chr9_133589790__FNTA_chr8_42911471	5	3601	2	2	424
ABL1_chr9_133589790__GATA3_chr10_8097722	5	1068	288	4661	9
ABL1_chr9_133589790__GATA3_chr10_8097790	7	543	325	2361	5
ABL1_chr9_133589790__HDAC2_chr6_114266539	14	4	1	628	4
ABL1_chr9_133589790__HDAC6_chrX_48661089	2575	6	819	8	566
ABL1_chr9_133589790__HDAC6_chrX_48661385	5063	10	367	2905	3
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	6	2	299	7	632
ABL1_chr9_133589790__IGF1R_chr15_99434664	5	1800	225	5	1521
ABL1_chr9_133589790__KDM5C_chrX_53241021	3	70	1	2	0
ABL1_chr9_133589790__KDM5C_chrX_53254068	13	1923	1217	8241	3106
ABL1_chr9_133589790__KDM6A_chrX_44820615	3	2	3	2685	77
ABL1_chr9_133589790__KDM6A_chrX_44820616	8	1771	179	4	2
ABL1_chr9_133589790__KIT_chr4_55524164	7	2	1	4	1149
ABL1_chr9_133589790__KMT2D_chr12_49448161	1	4	1	3052	321
ABL1_chr9_133589790__KMT2D_chr12_49448168	2	1918	203	2717	1346
ABL1_chr9_133589790__KMT2D_chr12_49448468	8	442	2	7	571
ABL1_chr9_133589790__MAP2K1_chr15_66679756	4	1	124	1	2
ABL1_chr9_133589790__MAP3K1_chr5_56111382	2	0	0	1	0
ABL1_chr9_133589790__MAP3K1_chr5_56152466	5	1641	376	1935	379
ABL1_chr9_133589790__MET_chr7_116340207	3	261	73	6	1
ABL1_chr9_133589790__MLH1_chr3_37045912	3	1	292	5	17
ABL1_chr9_133589790__MSH6_chr2_48018154	3	2	98	4	1
ABL1_chr9_133589790__NF1_chr17_29422308	6053	1812	278	939	175
ABL1_chr9_133589790__NF1_chr17_29483039	4	2	245	3925	1428
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	11	6	616	5	670
ABL1_chr9_133589790__PARP1_chr1_226578249	18	9	970	4192	546
ABL1_chr9_133589790__PARP1_chr1_226578301	5	2455	62	2153	229
ABL1_chr9_133589790__PARP1_chr1_226595581	5	1	358	7	638
ABL1_chr9_133589790__PBRM1_chr3_52713723	656	6	634	2661	91
ABL1_chr9_133589790__PDGFRA_chr4_55124932	13	5	1	1	1
ABL1_chr9_133589790__PDGFRA_chr4_55124963	7	12	814	1810	1408
ABL1_chr9_133589790__PIK3CA_chr3_178919070	5	3	0	1	3
ABL1_chr9_133589790__PIK3CA_chr3_178919167	5	2	609	2	1
ABL1_chr9_133589790__PIK3R1_chr5_67576410	6	3607	232	510	722
ABL1_chr9_133589790__PIK3R1_chr5_67576421	4	2	308	8	3335
ABL1_chr9_133589790__PRKDC_chr8_48686398	1492	2	1368	4115	1148
ABL1_chr9_133589790__PRKDC_chr8_48686781	8	8	1260	6	152
ABL1_chr9_133589790__PTEN_chr10_89653786	2355	7	602	8	254
ABL1_chr9_133589790__RB1_chr13_48878054	3885	2	263	5	0
ABL1_chr9_133589790__RB1_chr13_48934148	2	636	598	2	408
ABL1_chr9_133589790__ROR1_chr1_64240072	10	1669	805	16	1842
ABL1_chr9_133589790__ROR1_chr1_64240143	16	3	270	11	840
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	2178	2782	1309	6	666
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	961	8	578	2	900
ABL1_chr9_133589790__RRM2_chr2_10262728	2	3	1	885	2
ABL1_chr9_133589790__RRM2_chr2_10262940	6	3881	1113	7	357
ABL1_chr9_133589790__RUNX1_chr21_36252902	7	2	331	1	223
ABL1_chr9_133589790__RUNX1_chr21_36421144	4	1	2	1	3
ABL1_chr9_133589790__SETD2_chr3_47142951	10	1	782	1822	505
ABL1_chr9_133589790__SETD2_chr3_47205411	7	2401	338	283	1320
ABL1_chr9_133589790__SMARCA4_chr19_11094819	6	1	174	10	2
ABL1_chr9_133589790__SMARCB1_chr22_24129339	1	9	1	5	1080
ABL1_chr9_133589790__SMARCB1_chr22_24133949	9	5	159	7	1
ABL1_chr9_133589790__SMARCB1_chr22_24133993	3	1	1151	1	127
ABL1_chr9_133589790__SMO_chr7_128845117	5	7	168	7	2
ABL1_chr9_133589790__SRC_chr20_36014563	6	5	917	948	1429
ABL1_chr9_133589790__SRC_chr20_36022600	10	11	4	2	128
ABL1_chr9_133589790__TOP1_chr20_39657693	14	5	383	2	514
ABL1_chr9_133589790__TOP1_chr20_39690109	1	1025	1	1	1
ABL1_chr9_133589790__TP53_chr17_7577537	7	2	1	1848	515
ABL1_chr9_133589790__TP53_chr17_7579881	6	2	1	1061	191
ABL1_chr9_133589790__TSC1_chr9_135804256	4	0	3	4	158
ABL1_chr9_133589790__TYMS_chr18_659665	7	698	1060	6737	147
ABL1_chr9_133589790__VEGFA_chr6_43742077	12	2626	5	7	551
ABL1_chr9_133589790__VHL_chr3_10183773	11	1110	579	10	1498
ABL1_chr9_133589790__WEE1_chr11_9595462	6	666	6	9	1333
ABL1_chr9_133738283__AKT1_chr14_105258968	4903	2079	848	9	274
ABL1_chr9_133738283__ALK_chr2_29541171	5	3	0	2	0
ABL1_chr9_133738283__ALK_chr2_29541172	14	1	2	1	324
ABL1_chr9_133738283__ALK_chr2_30143522	13	9	4	2	1516
ABL1_chr9_133738283__APC_chr5_112102933	6689	721	4	4	297
ABL1_chr9_133738283__ARID1A_chr1_27022876	5	2	2	1	428
ABL1_chr9_133738283__ARID1A_chr1_27056286	13	918	182	1484	420
ABL1_chr9_133738283__ATM_chr11_108098350	18	1192	4	4800	579
ABL1_chr9_133738283__ATM_chr11_108098390	5	7	0	3397	34
ABL1_chr9_133738283__BCL2_chr18_60795945	3	3	425	2	2
ABL1_chr9_133738283__BCL2_chr18_60795960	6	0	2	1	920
ABL1_chr9_133738283__BRAF_chr7_140508787	16	697	850	5	2405
ABL1_chr9_133738283__BRAF_chr7_140534469	12	1545	387	2	726
ABL1_chr9_133738283__BRCA1_chr17_41256141	10	1342	1150	8862	3
ABL1_chr9_133738283__BRCA1_chr17_41276018	9	3842	1413	2	1
ABL1_chr9_133738283__BRCA2_chr13_32890586	3	1	58	1	1
ABL1_chr9_133738283__BRCA2_chr13_32914228	6	2	1	3	643
ABL1_chr9_133738283__BRD4_chr19_15383894	2	611	2	2	0
ABL1_chr9_133738283__BTK_chrX_100626613	3	1	1	3	2
ABL1_chr9_133738283__BTK_chrX_100645534	10	3	0	2	2
ABL1_chr9_133738283__CASP8_chr2_202123033	9	2328	404	6	3
ABL1_chr9_133738283__CASP8_chr2_202131404	6	1	3	1	184
ABL1_chr9_133738283__CDH1_chr16_68771300	8	3971	6	1291	4704
ABL1_chr9_133738283__CDH1_chr16_68772250	14	4	332	2	3
ABL1_chr9_133738283__CDK4_chr12_58143253	8	574	581	3	1019
ABL1_chr9_133738283__CDK6_chr7_92244474	13	6	355	3078	289
ABL1_chr9_133738283__CDK6_chr7_92252365	7	1994	1047	4	1018
ABL1_chr9_133738283__CDK6_chr7_92462628	5	6	0	1	1
ABL1_chr9_133738283__CDK9_chr9_130548409	15	6	376	5	3
ABL1_chr9_133738283__CDKN1B_chr12_12870931	1	2	912	3	4
ABL1_chr9_133738283__CHEK1_chr11_125496687	6	2476	460	2	8
ABL1_chr9_133738283__CHEK2_chr22_29085137	8	1	246	2	2
ABL1_chr9_133738283__DHFR_chr5_79950216	6	5	663	2	59
ABL1_chr9_133738283__DHFR_chr5_79950217	7	4	3	3	392
ABL1_chr9_133738283__EGFR_chr7_55086962	5	998	1	2	2
ABL1_chr9_133738283__EGFR_chr7_55209992	14	6	352	4083	258
ABL1_chr9_133738283__ERBB2_chr17_37868292	4	655	769	4	1059
ABL1_chr9_133738283__FGFR2_chr10_123298118	2877	4	837	343	1135
ABL1_chr9_133738283__FGFR3_chr4_1795736	4515	1	1	8	3
ABL1_chr9_133738283__FLT3_chr13_28636172	2693	1	643	1	2
ABL1_chr9_133738283__FLT3_chr13_28674643	7	1984	4	359	5
ABL1_chr9_133738283__FNTA_chr8_42911471	5	995	1	2	181
ABL1_chr9_133738283__FNTA_chr8_42924781	1099	3	467	4	0
ABL1_chr9_133738283__GATA3_chr10_8097612	8	3	427	0	4
ABL1_chr9_133738283__HDAC1_chr1_32792601	3	6	1270	6	737
ABL1_chr9_133738283__HDAC2_chr6_114266539	8	3	1	2	149
ABL1_chr9_133738283__HDAC6_chrX_48661089	10	1514	546	5900	864
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	5	4	4	1	6
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	4	512	521	1	82
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	9	6	11	6	1267
ABL1_chr9_133738283__IGF1R_chr15_99192824	9	1	139	3	897
ABL1_chr9_133738283__IGF1R_chr15_99434807	11	4	199	6	0
ABL1_chr9_133738283__KDM5C_chrX_53241021	5	1	1	0	152
ABL1_chr9_133738283__KDM5C_chrX_53254068	13	2	511	3	2170
ABL1_chr9_133738283__KDM6A_chrX_44732838	3	691	3	3	1737
ABL1_chr9_133738283__KIT_chr4_55524176	8	2	2	0	1
ABL1_chr9_133738283__KMT2D_chr12_49448161	5	2682	2	2	8
ABL1_chr9_133738283__MAP2K1_chr15_66679721	10	2	242	5	567
ABL1_chr9_133738283__MAP2K1_chr15_66679756	4	3	1	4	501
ABL1_chr9_133738283__MAP3K1_chr5_56152466	8	2	205	2	5
ABL1_chr9_133738283__MET_chr7_116339123	1	1596	2	1	5
ABL1_chr9_133738283__MET_chr7_116340188	10	4	0	2263	127
ABL1_chr9_133738283__MLH1_chr3_37035029	2	6	657	5	732
ABL1_chr9_133738283__MLH1_chr3_37038179	16	7	928	997	760
ABL1_chr9_133738283__MLH1_chr3_37045912	4	1	2	0	79
ABL1_chr9_133738283__MTOR_chr1_11317010	1905	3	313	6	1371
ABL1_chr9_133738283__MTOR_chr1_11317149	8	3	716	3	1678
ABL1_chr9_133738283__NF1_chr17_29483038	5	4	7	1903	6
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	10	3	619	3	1718
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	7	3	394	4	1
ABL1_chr9_133738283__PARP1_chr1_226595581	7	2	0	3	121
ABL1_chr9_133738283__PDGFRA_chr4_55124963	4917	1500	498	1367	2266
ABL1_chr9_133738283__PIK3CA_chr3_178916614	10	4	242	2286	1576
ABL1_chr9_133738283__PIK3R1_chr5_67522521	3176	8	6	6	2134
ABL1_chr9_133738283__PIK3R1_chr5_67576421	8	0	23	555	3
ABL1_chr9_133738283__PRKDC_chr8_48872683	5	5	2	2	0
ABL1_chr9_133738283__PTEN_chr10_89653786	4	1206	2	1301	2358
ABL1_chr9_133738283__RB1_chr13_48878054	5	2858	0	0	3
ABL1_chr9_133738283__RB1_chr13_48934148	4	3	2	2	291
ABL1_chr9_133738283__RB1_chr13_48936969	11	2	433	3	1
ABL1_chr9_133738283__ROR1_chr1_64240072	2416	1860	42	7062	3
ABL1_chr9_133738283__ROR1_chr1_64240089	3850	1404	640	6	6
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	7	2788	488	834	2
ABL1_chr9_133738283__RRM2_chr2_10262728	6	2	0	2	2
ABL1_chr9_133738283__RUNX1_chr21_36252860	7	973	382	2	2
ABL1_chr9_133738283__RUNX1_chr21_36252902	1630	494	2	2	3
ABL1_chr9_133738283__RUNX1_chr21_36421144	10	3	391	1935	152
ABL1_chr9_133738283__SETD2_chr3_47142972	7	2	0	1	128
ABL1_chr9_133738283__SMAD4_chr18_48573460	5	2	0	1482	1
ABL1_chr9_133738283__SMARCA4_chr19_11095011	7	1064	190	2	587
ABL1_chr9_133738283__SMO_chr7_128845081	1041	5	267	7	1
ABL1_chr9_133738283__SMO_chr7_128845117	2	1	1	2	49
ABL1_chr9_133738283__SRC_chr20_36012562	5	1	3	1	248
ABL1_chr9_133738283__SRC_chr20_36022600	7	3	548	2	1232
ABL1_chr9_133738283__TOP1_chr20_39657693	10	2546	255	5	2012
ABL1_chr9_133738283__TOP1_chr20_39690055	5	0	478	2	315
ABL1_chr9_133738283__TP53_chr17_7578373	6	0	600	2937	2
ABL1_chr9_133738283__TSC1_chr9_135796748	8	2	584	5	1025
ABL1_chr9_133738283__TYMS_chr18_657730	15	6234	735	14	3104
ABL1_chr9_133738283__TYMS_chr18_659665	10	391	631	1	2
ABL1_chr9_133738283__VEGFA_chr6_43738425	6	5	181	2	198
ABL1_chr9_133738283__VEGFA_chr6_43742077	19	3193	1816	9	2431
ABL1_chr9_133738283__VHL_chr3_10183791	5079	3480	3	7	13
ABL1_chr9_133738283__WEE1_chr11_9595462	7	5	0	5	375
ABL1_chr9_133738283__WEE1_chr11_9595542	7	4	926	212	3
ABL1_chr9_133738283__WEE1_chr11_9595845	8	1503	2	57	1201
ABL1_chr9_133738356__ADA_chr20_43280245	1911	1700	1824	7	5
ABL1_chr9_133738356__AKT1_chr14_105239609	15	1303	777	5	10
ABL1_chr9_133738356__AKT1_chr14_105239686	17	12	1128	14	8
ABL1_chr9_133738356__AKT1_chr14_105258968	20	2948	226	3	2378
ABL1_chr9_133738356__APC_chr5_112043408	3916	6	554	15	1471
ABL1_chr9_133738356__APC_chr5_112102023	7	2714	1571	4	825
ABL1_chr9_133738356__ARID1A_chr1_27056286	6	1291	554	707	1370
ABL1_chr9_133738356__ARID1A_chr1_27056288	14	3	900	444	2
ABL1_chr9_133738356__ARID2_chr12_46123614	3	0	0	3	627
ABL1_chr9_133738356__ATM_chr11_108098350	10	6	6	6	1
ABL1_chr9_133738356__ATM_chr11_108098390	6	606	966	12	2161
ABL1_chr9_133738356__ATM_chr11_108098402	4	3	0	5	4121
ABL1_chr9_133738356__BRAF_chr7_140508787	18	504	576	2758	3926
ABL1_chr9_133738356__BRAF_chr7_140624501	11	7	1107	7	658
ABL1_chr9_133738356__BRCA1_chr17_41256141	13	400	601	7029	1247
ABL1_chr9_133738356__BRCA1_chr17_41267735	6	1100	663	2690	1792
ABL1_chr9_133738356__BRD4_chr19_15376361	11	2	4	1	6
ABL1_chr9_133738356__BTK_chrX_100629565	9	9	1188	5	747
ABL1_chr9_133738356__CASP8_chr2_202123033	8	5	289	4	1039
ABL1_chr9_133738356__CASP8_chr2_202131404	3713	4	300	250	812
ABL1_chr9_133738356__CDH1_chr16_68772255	5	131	270	3873	875
ABL1_chr9_133738356__CDK4_chr12_58144705	12	7	608	2	1480
ABL1_chr9_133738356__CDK4_chr12_58145497	7	501	548	11	245
ABL1_chr9_133738356__CDK6_chr7_92244474	20	5	223	536	3363
ABL1_chr9_133738356__CDK6_chr7_92252365	7	2413	250	1139	518
ABL1_chr9_133738356__CDK9_chr9_130548409	16	539	3	12	8
ABL1_chr9_133738356__CDK9_chr9_130548998	3	4	651	6	1667
ABL1_chr9_133738356__CDKN1B_chr12_12871196	7	10	867	6	515
ABL1_chr9_133738356__CDKN2A_chr9_21994327	11	931	1	2	3
ABL1_chr9_133738356__CHEK1_chr11_125499147	8	669	373	7	1582
ABL1_chr9_133738356__DHFR_chr5_79949819	8	4	3	2097	1647
ABL1_chr9_133738356__DHFR_chr5_79950216	11	12	67	4	338
ABL1_chr9_133738356__ERBB2_chr17_37868221	14	0	1	2784	2329
ABL1_chr9_133738356__FGFR2_chr10_123298215	13	2097	5	8	392
ABL1_chr9_133738356__FGFR2_chr10_123353328	3	2	1	2	643
ABL1_chr9_133738356__FGFR3_chr4_1795655	9	4	4	6	5
ABL1_chr9_133738356__FGFR3_chr4_1795735	11	20	1019	5293	6467
ABL1_chr9_133738356__FGFR3_chr4_1795736	5	1384	423	0	5
ABL1_chr9_133738356__FLT3_chr13_28636131	17	4	3	3	6
