construct_id	PGP1_MV4_d14_2_S4_trimmed53_len_filtered_counts	PGP1_MV4_d14_1_S3_trimmed53_len_filtered_counts	PGP1_MV4_d3_1_S1_trimmed53_len_filtered_counts	PGP1_MV4_d21_1_S5_trimmed53_len_filtered_counts	PGP1_MV4_d21_2_S6_trimmed53_len_filtered_counts	PGP1_MV4_d3_2_S2_trimmed53_len_filtered_counts	PGP1_MV4_d28_2_S8_trimmed53_len_filtered_counts	PGP1_MV4_d28_1_S7_trimmed53_len_filtered_counts
ALDOA_chr16_30078215__ALDOB_chr9_104188893	3	220	494	390	5	703	3	75
ALDOA_chr16_30078215__ALDOC_chr17_26901140	134	151	1473	130	106	1970	109	32
ALDOA_chr16_30078215__ALDOC_chr17_26902525	0	0	126	0	0	35	0	0
ALDOA_chr16_30078215__DLAT_chr11_111896198	152	0	481	1	54	1097	67	0
ALDOA_chr16_30078215__DLAT_chr11_111899333	0	190	1304	170	2	727	0	22
ALDOA_chr16_30078215__DLD_chr7_107533653	2095	34	424	589	2143	682	1175	79
ALDOA_chr16_30078215__ENO3_chr17_4855147	1433	125	247	247	1056	1341	622	224
ALDOA_chr16_30078215__ENO3_chr17_4856118	1261	89	429	285	757	947	825	5
ALDOA_chr16_30078215__FBP1_chr9_97369211	0	0	185	0	0	500	0	0
ALDOA_chr16_30078215__FBP2_chr9_97333804	79	0	123	0	27	129	0	0
ALDOA_chr16_30078215__FBP2_chr9_97355949	335	765	748	1906	152	1153	79	687
ALDOA_chr16_30078215__G6PC_chr17_41055970	0	0	538	0	0	113	0	0
ALDOA_chr16_30078215__G6PD_chrX_153760901	0	173	224	437	1	162	0	111
ALDOA_chr16_30078215__GAPDHS_chr19_36024416	492	367	2126	694	894	1468	1188	193
ALDOA_chr16_30078215__GAPDHS_chr19_36027769	0	0	459	0	2	1332	1	0
ALDOA_chr16_30078215__GAPDHS_chr19_36027833	240	0	1670	1	37	396	0	0
ALDOA_chr16_30078215__GAPDH_chr12_6644017	238	38	902	24	516	1049	369	0
ALDOA_chr16_30078215__GAPDH_chr12_6645947	134	0	381	0	257	379	386	0
ALDOA_chr16_30078215__GCK_chr7_44189577	0	0	0	0	0	0	0	0
ALDOA_chr16_30078215__GCK_chr7_44189603	1	29	281	1	0	304	0	0
ALDOA_chr16_30078215__GCK_chr7_44228532	2812	173	714	583	3811	156	3754	268
ALDOA_chr16_30078215__GOT2_chr16_58752127	2138	335	415	457	3043	331	2353	230
ALDOA_chr16_30078215__H6PD_chr1_9305432	45	284	114	188	6	0	0	102
ALDOA_chr16_30078215__HK2_chr2_75061733	332	10	7	0	132	633	147	0
ALDOA_chr16_30078215__HK3_chr5_176318178	0	0	782	0	1	258	0	0
ALDOA_chr16_30078215__LDHAL6B_chr15_59499219	1573	104	976	67	1240	1068	1159	1
ALDOA_chr16_30078215__LDHA_chr11_18418076	28	44	545	353	304	1110	673	196
ALDOA_chr16_30078215__LDHA_chr11_18418499	8	434	61	0	0	50	1	2
ALDOA_chr16_30078215__LDHB_chr12_21795002	202	59	198	99	32	537	16	31
ALDOA_chr16_30078215__LDHC_chr11_18434337	1368	3	1	5	2048	685	1461	1
ALDOA_chr16_30078215__LDHC_chr11_18436748	1237	986	864	2551	1483	1884	840	1012
ALDOA_chr16_30078215__LDHC_chr11_18436754	787	3	348	0	592	1189	749	0
ALDOA_chr16_30078215__MDH2_chr7_75687297	159	396	1641	168	42	2705	369	141
ALDOA_chr16_30078215__ME1_chr6_83947541	1312	146	653	93	1813	590	874	37
ALDOA_chr16_30078215__ME2_chr18_48422222	329	150	993	493	181	830	246	344
ALDOA_chr16_30078215__NonTargetingControlGuideForHuman0039	0	14	781	12	2	265	0	5
