construct_id	CRV4_plasmid_S8_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ADA_chr20_43257696	796
ABL1_chr9_133589790__ADA_chr20_43257769	414
ABL1_chr9_133589790__ALK_chr2_29541172	807
ABL1_chr9_133589790__ALK_chr2_30143522	507
ABL1_chr9_133589790__ATM_chr11_108098350	699
ABL1_chr9_133589790__ATM_chr11_108098390	707
ABL1_chr9_133589790__BCL2_chr18_60795945	373
ABL1_chr9_133589790__BCL2_chr18_60985877	344
ABL1_chr9_133589790__BRAF_chr7_140534469	320
ABL1_chr9_133589790__BRD4_chr19_15376361	443
ABL1_chr9_133589790__BTK_chrX_100626613	646
ABL1_chr9_133589790__BTK_chrX_100645534	343
ABL1_chr9_133589790__CDK4_chr12_58143253	387
ABL1_chr9_133589790__CDK4_chr12_58145497	339
ABL1_chr9_133589790__CDK6_chr7_92252365	507
ABL1_chr9_133589790__CDK9_chr9_130548998	727
ABL1_chr9_133589790__CDK9_chr9_130550235	354
ABL1_chr9_133589790__CHEK1_chr11_125496644	200
ABL1_chr9_133589790__CHEK1_chr11_125499147	857
ABL1_chr9_133589790__CHEK2_chr22_29090029	355
ABL1_chr9_133589790__CHEK2_chr22_29130694	234
ABL1_chr9_133589790__EGFR_chr7_55209986	857
ABL1_chr9_133589790__EGFR_chr7_55209992	275
ABL1_chr9_133589790__ERBB2_chr17_37855800	111
ABL1_chr9_133589790__ERBB2_chr17_37868292	214
ABL1_chr9_133589790__FGFR2_chr10_123298118	441
ABL1_chr9_133589790__FGFR3_chr4_1795655	251
ABL1_chr9_133589790__FLT3_chr13_28636131	519
ABL1_chr9_133589790__FLT3_chr13_28636172	322
ABL1_chr9_133589790__FLT3_chr13_28674643	366
ABL1_chr9_133589790__FNTA_chr8_42911471	546
ABL1_chr9_133589790__HDAC2_chr6_114266539	256
ABL1_chr9_133589790__HDAC6_chrX_48661089	175
ABL1_chr9_133589790__HDAC6_chrX_48661385	681
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	310
ABL1_chr9_133589790__IGF1R_chr15_99434664	482
ABL1_chr9_133589790__KIT_chr4_55524164	497
ABL1_chr9_133589790__MAP2K1_chr15_66679756	498
ABL1_chr9_133589790__MET_chr7_116340207	552
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	909
ABL1_chr9_133589790__PARP1_chr1_226578249	279
ABL1_chr9_133589790__PARP1_chr1_226578301	181
ABL1_chr9_133589790__PARP1_chr1_226595581	521
ABL1_chr9_133589790__PDGFRA_chr4_55124932	405
ABL1_chr9_133589790__PDGFRA_chr4_55124963	284
ABL1_chr9_133589790__PIK3CA_chr3_178919070	108
ABL1_chr9_133589790__PIK3CA_chr3_178919167	276
ABL1_chr9_133589790__PRKDC_chr8_48686398	656
