construct_id	UCTAt1-2_S4_trimmed53_len_filtered_counts	UCAt1-2_S2_trimmed53_len_filtered_counts	UCBt1-2_S3_trimmed53_len_filtered_counts	UCTBt1-2_S5_trimmed53_len_filtered_counts	UPt1-2_S1_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ADA_chr20_43257696	1239	93	466	1	261
ABL1_chr9_133589790__ADA_chr20_43257769	8	3153	1166	7	200
ABL1_chr9_133589790__ALK_chr2_29541172	4	296	621	0	483
ABL1_chr9_133589790__ALK_chr2_30143522	591	306	304	1369	387
ABL1_chr9_133589790__ARID1A_chr1_27056288	1413	54	547	0	312
ABL1_chr9_133589790__ARID2_chr12_46205318	2544	302	955	11	591
ABL1_chr9_133589790__ARID2_chr12_46254608	1	7	39	0	2
ABL1_chr9_133589790__ATM_chr11_108098350	122	806	591	512	398
ABL1_chr9_133589790__ATM_chr11_108098390	0	14	28	2	0
ABL1_chr9_133589790__BCL2_chr18_60795945	6	46	209	1	540
ABL1_chr9_133589790__BCL2_chr18_60985877	1	271	219	3	0
ABL1_chr9_133589790__BRAF_chr7_140534469	13	303	381	768	272
ABL1_chr9_133589790__BRCA1_chr17_41256141	7	338	286	0	506
ABL1_chr9_133589790__BRCA1_chr17_41267735	118	452	324	558	96
ABL1_chr9_133589790__BRCA2_chr13_32912006	6	508	699	6	2
ABL1_chr9_133589790__BRD4_chr19_15376361	315	523	375	686	1034
ABL1_chr9_133589790__BTK_chrX_100626613	1	4	145	2	160
ABL1_chr9_133589790__BTK_chrX_100645534	1254	841	864	831	204
ABL1_chr9_133589790__CASP8_chr2_202123033	70	167	659	8	200
ABL1_chr9_133589790__CASP8_chr2_202131404	51	974	618	6	2
ABL1_chr9_133589790__CASP8_chr2_202134297	1075	135	547	424	836
ABL1_chr9_133589790__CDH1_chr16_68772250	148	212	214	290	145
ABL1_chr9_133589790__CDK4_chr12_58143253	0	3	333	714	1
ABL1_chr9_133589790__CDK4_chr12_58145497	5	106	611	152	1308
ABL1_chr9_133589790__CDK6_chr7_92252365	3	256	288	0	4
ABL1_chr9_133589790__CDK9_chr9_130548998	119	0	74	1	3
ABL1_chr9_133589790__CDK9_chr9_130550235	19	1778	1228	1022	240
ABL1_chr9_133589790__CDKN1B_chr12_12870931	4	580	393	4	0
ABL1_chr9_133589790__CDKN2A_chr9_21968726	23	355	288	100	370
ABL1_chr9_133589790__CHEK1_chr11_125496644	404	349	301	373	386
ABL1_chr9_133589790__CHEK1_chr11_125499147	4	18	219	2	1
ABL1_chr9_133589790__CHEK2_chr22_29090029	3	252	328	1	783
ABL1_chr9_133589790__CHEK2_chr22_29130694	1561	460	559	233	1290
ABL1_chr9_133589790__EGFR_chr7_55209986	169	244	309	910	574
ABL1_chr9_133589790__EGFR_chr7_55209992	2	69	270	245	3
ABL1_chr9_133589790__ERBB2_chr17_37855800	89	198	475	1166	902
